date,temp_mean_C,temp_max_C,temp_min_C,temp_range_C,flow_mean_cfs,flow_min_cfs,flow_max_cfs,flow_log_mean,temp_change_1d,flow_change_1d,day_of_year,month,n_obs
2024-06-01,8.591666666666667,10.5,7.6,2.9000000000000004,211.84375,206.0,218.0,5.360558328441591,0.8354166666666671,-3.71875,153,6,96
2024-06-02,8.545833333333333,10.1,7.6,2.5,208.84375,206.0,212.0,5.346363206157611,-0.04583333333333428,-3.0,154,6,96
2024-06-03,8.632291666666667,10.5,7.8,2.7,206.79166666666666,198.0,209.0,5.336535975198177,0.08645833333333464,-2.052083333333343,155,6,96
2024-06-04,8.638541666666667,10.5,7.7,2.8,207.65625,206.0,209.0,5.340688161058142,0.006249999999999645,0.8645833333333428,156,6,96
2024-06-05,8.817021276595744,10.8,7.9,2.9000000000000004,208.4255319148936,206.0,210.0,5.3443682199191525,0.1784796099290773,0.769281914893611,157,6,94
2024-06-06,8.356250000000001,9.0,8.0,1.0,209.28125,206.0,212.0,5.348445920388592,-0.460771276595743,0.855718085106389,158,6,96
2024-06-07,8.585416666666667,10.6,7.8,2.8,208.9375,206.0,212.0,5.346809867372512,0.22916666666666607,-0.34375,159,6,96
2024-06-08,8.434375000000001,9.7,7.8,1.8999999999999995,209.09375,206.0,212.0,5.34755385966931,-0.15104166666666607,0.15625,160,6,96
2024-06-09,8.301041666666666,9.6,7.9,1.6999999999999993,211.40625,209.0,215.0,5.358500714546912,-0.13333333333333464,2.3125,161,6,96
2024-06-10,8.605208333333334,10.0,7.8,2.2,206.9375,203.0,212.0,5.337237553778696,0.30416666666666714,-4.46875,162,6,96
2024-06-11,8.466666666666667,9.4,7.9,1.5,203.63541666666666,202.0,205.0,5.321229940524724,-0.13854166666666679,-3.302083333333343,163,6,96
2024-06-12,8.719791666666667,10.3,8.0,2.3000000000000007,203.40625,202.0,205.0,5.320109435161486,0.2531250000000007,-0.2291666666666572,164,6,96
2024-06-13,8.961458333333333,10.9,7.9,3.0,202.21875,199.0,205.0,5.3142829850694255,0.24166666666666536,-1.1875,165,6,96
2024-06-14,8.770833333333334,10.2,8.1,2.0999999999999996,205.84375,202.0,217.0,5.331963677319196,-0.19062499999999893,3.625,166,6,96
2024-06-15,9.174999999999999,11.0,8.2,2.8000000000000007,208.03125,205.0,214.0,5.342483762318682,0.404166666666665,2.1875,167,6,96
2024-06-16,9.042105263157895,10.9,8.1,2.8000000000000007,203.1263157894737,201.0,207.0,5.3187389972685,-0.13289473684210407,-4.9049342105263065,168,6,95
2024-06-17,9.271875,11.3,8.2,3.1000000000000014,202.65625,201.0,207.0,5.316433523532654,0.22976973684210478,-0.4700657894736935,169,6,96
2024-06-18,9.352083333333333,11.0,8.4,2.5999999999999996,201.1875,198.0,204.0,5.30919548469522,0.08020833333333321,-1.46875,170,6,96
2024-06-19,9.372916666666667,10.7,8.6,2.0999999999999996,199.9375,198.0,204.0,5.302993914431939,0.020833333333333925,-1.25,171,6,96
2024-06-20,9.403125000000001,10.9,8.6,2.3000000000000007,199.0625,195.0,201.0,5.298629817730082,0.03020833333333428,-0.875,172,6,96
2024-06-21,9.485416666666667,10.9,8.6,2.3000000000000007,204.41666666666666,198.0,265.0,5.3250404366887905,0.08229166666666643,5.354166666666657,173,6,96
2024-06-22,9.625,10.5,8.9,1.5999999999999996,212.77083333333334,204.0,242.0,5.364904568954318,0.1395833333333325,8.354166666666686,174,6,96
2024-06-23,10.114583333333334,11.6,9.2,2.4000000000000004,221.3125,211.0,236.0,5.404084049708674,0.4895833333333339,8.541666666666657,175,6,96
2024-06-24,9.720833333333333,10.8,8.9,1.9000000000000004,206.34375,197.0,215.0,5.3343780439665816,-0.3937500000000007,-14.96875,176,6,96
2024-06-25,9.663541666666667,11.7,8.8,2.8999999999999986,235.89583333333334,203.0,264.0,5.467620522716832,-0.057291666666666075,29.552083333333343,177,6,96
2024-06-26,9.569791666666667,11.0,8.8,2.1999999999999993,262.1458333333333,196.0,275.0,5.572708377866085,-0.09375,26.24999999999997,178,6,96
2024-06-27,9.6875,11.3,8.8,2.5,266.875,262.0,272.0,5.590520453793741,0.11770833333333286,4.729166666666686,179,6,96
2024-06-28,9.543750000000001,11.1,8.8,2.299999999999999,263.3958333333333,259.0,269.0,5.577447348902274,-0.14374999999999893,-3.4791666666666856,180,6,96
2024-06-29,9.313541666666667,10.0,9.0,1.0,265.6145833333333,263.0,267.0,5.585804107423847,-0.23020833333333357,2.21875,181,6,96
2024-06-30,9.78125,10.6,9.2,1.4000000000000004,277.8229166666667,267.0,319.0,5.63057687302149,0.4677083333333325,12.208333333333371,182,6,96
2024-07-01,9.875,11.4,9.2,2.200000000000001,308.15625,271.0,331.0,5.733846812523496,0.09375,30.333333333333314,183,7,96
2024-07-02,9.805208333333333,11.1,9.2,1.9000000000000004,321.09375,316.0,327.0,5.774842652237067,-0.06979166666666714,12.9375,184,7,96
2024-07-03,9.916666666666666,11.2,9.2,2.0,318.2083333333333,312.0,323.0,5.7658439721688755,0.11145833333333321,-2.8854166666666856,185,7,96
2024-07-04,9.722916666666666,10.1,9.4,0.6999999999999993,318.5520833333333,316.0,323.0,5.766920275659871,-0.19374999999999964,0.34375,186,7,96
2024-07-05,10.014583333333333,11.2,9.6,1.5999999999999996,319.625,319.0,323.0,5.770272215925034,0.2916666666666661,1.0729166666666856,187,7,96
2024-07-06,10.327083333333333,11.2,9.8,1.3999999999999986,322.0,319.0,330.0,5.777652323222656,0.3125,2.375,188,7,96
2024-07-07,10.4125,11.7,9.9,1.799999999999999,316.96875,311.0,322.0,5.7619531075110695,0.08541666666666714,-5.03125,189,7,96
2024-07-08,10.403125000000001,11.3,9.9,1.4000000000000004,314.4166666666667,311.0,318.0,5.753894516083549,-0.009374999999998579,-2.5520833333333144,190,7,96
2024-07-09,10.870833333333332,11.9,10.0,1.9000000000000004,326.15625,311.0,351.0,5.790437885519628,0.46770833333333073,11.739583333333314,191,7,96
2024-07-10,11.353125,12.6,10.6,2.0,330.8229166666667,318.0,348.0,5.804601443082753,0.48229166666666856,4.666666666666686,192,7,96
2024-07-11,11.126041666666666,12.5,10.4,2.0999999999999996,320.2916666666667,314.0,329.0,5.7723493294850154,-0.22708333333333464,-10.53125,193,7,96
2024-07-12,10.908333333333333,11.9,10.4,1.5,316.0104166666667,314.0,321.0,5.758934633484611,-0.2177083333333325,-4.28125,194,7,96
